date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:29:49	913/913	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:1056c2c87345d89873776108bc8e9226%22	https://wantsandneeds.com/robots.txt		(from )
04:29:49	207789/207789	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:aaac4fa8acfa2bcc9f8834f0acdf4bce%22	https://wantsandneeds.com/	C:/My%20Web%20Sites/wants%20and%20needs%20brand/wantsandneeds.com/index.html	(from )
04:29:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Dec%202025%2001:29:47%20GMT	http://wantsandneeds.com/cdn/shop/t/18/assets/swiper-bundle.min.css?v=127370101718424465871758233435	C:/My%20Web%20Sites/wants%20and%20needs%20brand/wantsandneeds.com/cdn/shop/t/18/assets/swiper-bundle.min.09ef2.delayed	(from https://wantsandneeds.com/)
04:29:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Dec%202025%2001:29:48%20GMT	http://wantsandneeds.com/cdn/shop/t/18/assets/photoswipe.min.css?v=165459975419098386681758233410	C:/My%20Web%20Sites/wants%20and%20needs%20brand/wantsandneeds.com/cdn/shop/t/18/assets/photoswipe.min5cd6.css	(from https://wantsandneeds.com/)
04:29:50	18435/18435	---MCZ	200	added ('OK')	text/css	date:Thu,%2018%20Sep%202025%2023:34:03%20GMT	https://wantsandneeds.com/cdn/shop/t/18/assets/swiper-bundle.min.css?v=127370101718424465871758233435	C:/My%20Web%20Sites/wants%20and%20needs%20brand/wantsandneeds.com/cdn/shop/t/18/assets/swiper-bundle.min9ef2.css	(from https://wantsandneeds.com/)
04:29:50	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Dec%202025%2001:29:48%20GMT	http://wantsandneeds.com/cdn/shop/t/18/assets/theme.min.css?v=78111646675556808761758233443	C:/My%20Web%20Sites/wants%20and%20needs%20brand/wantsandneeds.com/cdn/shop/t/18/assets/theme.min4a5d.css	(from https://wantsandneeds.com/)
04:29:50	8088/8088	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Nov%202025%2023:41:33%20GMT	https://wantsandneeds.com/cdn/shop/t/18/assets/photoswipe.min.css?v=165459975419098386681758233410	C:/My%20Web%20Sites/wants%20and%20needs%20brand/wantsandneeds.com/cdn/shop/t/18/assets/photoswipe.min5cd6.css	(from https://wantsandneeds.com/)
04:29:50	300169/300169	---MCZ	200	added ('OK')	text/css	date:Thu,%2018%20Sep%202025%2023:34:03%20GMT	https://wantsandneeds.com/cdn/shop/t/18/assets/theme.min.css?v=78111646675556808761758233443	C:/My%20Web%20Sites/wants%20and%20needs%20brand/wantsandneeds.com/cdn/shop/t/18/assets/theme.min4a5d.css	(from https://wantsandneeds.com/)
04:29:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Dec%202025%2001:29:49%20GMT	http://wantsandneeds.com/cdn/shop/t/18/assets/custom.css?v=102493421877365237651758233409	C:/My%20Web%20Sites/wants%20and%20needs%20brand/wantsandneeds.com/cdn/shop/t/18/assets/custom107e.css	(from https://wantsandneeds.com/)
04:29:51	43/43	---MCZ	200	added ('OK')	text/css	date:Thu,%2018%20Sep%202025%2023:34:03%20GMT	https://wantsandneeds.com/cdn/shop/t/18/assets/custom.css?v=102493421877365237651758233409	C:/My%20Web%20Sites/wants%20and%20needs%20brand/wantsandneeds.com/cdn/shop/t/18/assets/custom107e.css	(from https://wantsandneeds.com/)
